Area,Age,Gender,Population,
Renfrew-Collingwood,70-74 years,Male,750,
Renfrew-Collingwood,75-79 years,Male,745,
Renfrew-Collingwood,80-84 years,Male,505,
Renfrew-Collingwood,85+,Male,310,
Renfrew-Collingwood,0-4 years,Female,"1,120",
Renfrew-Collingwood,5-9 years,Female,"1,035",
Renfrew-Collingwood,10-14 years,Female,"1,225",
Renfrew-Collingwood,15-19 years,Female,"1,530",
Renfrew-Collingwood,15 years,Female,275,
Renfrew-Collingwood,16 years,Female,290,
Renfrew-Collingwood,17 years,Female,305,
Renfrew-Collingwood,18 years,Female,290,
Renfrew-Collingwood,19 years,Female,370,
Renfrew-Collingwood,20-24 years,Female,"2,000",
Renfrew-Collingwood,25-29 years,Female,"2,010",
Renfrew-Collingwood,30-34 years,Female,"1,870",
Renfrew-Collingwood,35-39 years,Female,"1,870",
Renfrew-Collingwood,40-44 years,Female,"1,935",
Renfrew-Collingwood,45-49 years,Female,"2,215",
Renfrew-Collingwood,50-54 years,Female,"1,980",
Renfrew-Collingwood,55-59 years,Female,"1,720",
Renfrew-Collingwood,60-64 years,Female,"1,465",
Renfrew-Collingwood,65-69 years,Female,950,
Renfrew-Collingwood,70-74 years,Female,"1,000",
Renfrew-Collingwood,75-79 years,Female,840,
Renfrew-Collingwood,80-84 years,Female,580,
Renfrew-Collingwood,85+,Female,510,
RileyPark,0-4 years,Male,605,
RileyPark,5-9 years,Male,580,
RileyPark,10-14 years,Male,510,
RileyPark,15-19 years,Male,480,
RileyPark,15 years,Male,100,
RileyPark,16 years,Male,95,
RileyPark,17 years,Male,105,
RileyPark,18 years,Male,85,
RileyPark,19 years,Male,95,
RileyPark,20-24 years,Male,665,
RileyPark,25-29 years,Male,855,
RileyPark,30-34 years,Male,890,
RileyPark,35-39 years,Male,840,
RileyPark,40-44 years,Male,910,
RileyPark,45-49 years,Male,880,
RileyPark,50-54 years,Male,745,
RileyPark,55-59 years,Male,635,
RileyPark,60-64 years,Male,600,
RileyPark,65-69 years,Male,345,
RileyPark,70-74 years,Male,270,
RileyPark,75-79 years,Male,290,
RileyPark,80-84 years,Male,200,
RileyPark,85+,Male,125,
RileyPark,0-4 years,Female,590,
RileyPark,5-9 years,Female,525,
RileyPark,10-14 years,Female,480,
RileyPark,15-19 years,Female,500,
RileyPark,15 years,Female,110,
RileyPark,16 years,Female,90,
RileyPark,17 years,Female,100,
RileyPark,18 years,Female,110,
RileyPark,19 years,Female,95,
RileyPark,20-24 years,Female,665,
RileyPark,25-29 years,Female,975,
RileyPark,30-34 years,Female,985,
RileyPark,35-39 years,Female,925,
RileyPark,40-44 years,Female,960,
RileyPark,45-49 years,Female,965,
RileyPark,50-54 years,Female,845,
RileyPark,55-59 years,Female,775,
RileyPark,60-64 years,Female,660,
RileyPark,65-69 years,Female,385,
